molA,molB,coupling_energy
0,0,-27.740948964827
0,1,-1.924392764799
0,2,-50.196195959710
0,3,-65.963198135076
0,4,-56.458111432476
0,5,-47.179602582117
0,6,-55.454723739429
0,7,-60.566163443262
0,8,26.740890608802
0,9,-48.885949955875
0,10,-25.926830719618
0,11,-24.917021693800
0,12,-46.523194564885
0,13,-68.946908116486
0,14,-20.554210151167
0,15,-54.063767939682
0,16,-54.270203449356
0,17,-44.942656862222
0,18,-54.923057873595
0,19,5.432764995137
0,20,-49.919790019696
0,21,-52.813896636551
0,22,-49.361747807132
0,23,2.967736946826
0,24,-50.727122400356
0,25,-64.233413448797
0,26,-0.014130343821
0,27,-13.557202162956
0,28,6.683553158706
0,29,-52.057408585388
0,30,-8.061696948505
0,31,20.972889287179
0,32,-55.922275479636
0,33,-14.023608783689
0,34,-46.860593558544
0,35,-68.623700421689
0,36,-19.297777446372
0,37,-65.852460628288
0,38,-56.889093468453
0,39,-62.431820498139
0,40,-59.818854236837
0,41,-51.677274273643
0,42,-9.529785203842
0,43,0.976346332107
0,44,-56.109632771557
0,45,-14.084402825807
0,46,-9.169689299379
0,47,-55.174713040804
0,48,-19.550534236325
0,49,-16.429744680099
0,50,-62.621207925142
0,51,-4.233577368686
0,52,-57.879632730437
0,53,-24.958760764748
0,54,-1.291928487990
0,55,-49.942439335086
0,56,-56.368935819592
0,57,-47.248826600451
0,58,-52.891951813712
0,59,-6.143090445010
0,60,-14.084758559795
0,61,3.521978421348
0,62,-35.113450690718
0,63,14.047235350859
0,64,-11.203540108858
0,65,18.492683793615
0,66,-64.086573314613
0,67,-63.073982004353
0,68,-40.067859096998
0,69,-7.434832946317
0,70,13.715060063267
0,71,-2.676726145466
0,72,-7.222340405722
0,73,-44.862247245284
0,74,-48.664799022336
0,75,-0.359258033008
0,76,-46.324196211972
0,77,-0.160928944519
0,78,-58.103826782833
0,79,-61.455057790881
0,80,-58.248025912944
0,81,-12.943325516600
0,82,-4.096951947395
0,83,10.100270048591
0,84,13.474704414934
0,85,-44.154330663427
0,86,-46.560940551994
0,87,-0.452516729587
0,88,-37.433333265486
0,89,-57.165945628294
0,90,20.022362587006
0,91,-48.761253324868
0,92,-53.643348671947
0,93,-52.904438237543
0,94,-20.860798326059
0,95,-51.864640500811
0,96,-18.533414402133
0,97,-32.586506504900
0,98,-53.930428265019
0,99,-16.571795995136
0,100,7.231767389902
0,101,19.302281959928
0,102,-10.916790543968
0,103,4.178220055081
0,104,11.647481092936
0,105,-62.586281071221
0,106,41.197201759067
0,107,-58.237827531244
0,108,-18.818243453919
0,109,-59.242474929619
0,110,-39.500712462905
0,111,-50.589293869627
0,112,-62.197238749271
0,113,-55.069222214537
0,114,-51.161021317661
0,115,7.563044576011
0,116,-7.527974892124
0,117,1.091480254734
0,118,1.191710981977
0,119,-47.280535563506
0,120,-60.123496503060
0,121,-2.461614210493
0,122,-32.742797274113
0,123,-49.697504047006
0,124,-26.031077889420
0,125,-51.774461295172
0,126,-59.130474198188
0,127,-48.468667494933
0,128,-45.348470109624
0,129,-54.152802918528
0,130,-49.950037097115
0,131,-36.892766882804
0,132,-2.767488902915
0,133,-50.823733316240
0,134,-15.154240989708
0,135,-45.104034099517
0,136,-63.927746224719
0,137,-14.319497647659
0,138,-58.057965437336
0,139,-37.862794835157
0,140,-4.399507969545
0,141,-34.101054523308
0,142,18.795513344921
0,143,-41.707089566080
0,144,-18.536552061378
0,145,-27.837713134672
0,146,11.969259259029
0,147,-37.832758520395
0,148,-68.476161228180
0,149,-51.936031906094
0,150,-72.125302517285
0,151,-17.492170961785
0,152,-48.418012734946
0,153,-57.672387875493
0,154,14.332367814648
0,155,-0.051275760939
0,156,-26.968794307679
0,157,-22.827568666064
0,158,-40.049682239151
0,159,-53.236019027870
0,160,15.527134161901
0,161,5.948811582464
0,162,8.359163204797
0,163,-6.691682795667
0,164,-7.947596959333
0,165,-57.843695274118
0,166,-3.336119511012
0,167,-0.409474989814
0,168,-30.912993686507
0,169,19.815798737603
0,170,-48.723311976522
0,171,-34.172131868560
0,172,-57.342655296365
0,173,-4.418333915339
0,174,-35.253023340920
0,175,5.229534069797
0,176,4.771930473558
0,177,-36.539490684729
0,178,-52.216694975759
0,179,-31.236675164429
0,180,-6.329146002128
0,181,-53.170386869824
0,182,-32.059267297867
0,183,-54.279360660206
0,184,-58.899744495102
0,185,4.453678237078
0,186,12.738250855975
0,187,14.709196876938
0,188,-47.615881224978
0,189,-14.202747742449
0,190,-5.812520285734
0,191,-14.712720423151
0,192,-43.516468585141
0,193,-17.363883016580
0,194,-45.452360704934
0,195,-61.669634428668
0,196,-1.968128196713
0,197,-2.369414550136
0,198,-12.831993893044
0,199,4.571510414338
1,0,25.703463752303
1,1,51.520862546437
1,2,3.247483912070
1,3,-12.520032808301
1,4,-3.014635916268
1,5,6.264175736316
1,6,-2.011215478204
1,7,-7.122821990291
1,8,80.187081552431
1,9,4.557772675747
1,10,27.517641204497
1,11,28.527483187347
1,12,6.920605175546
1,13,-15.503840158752
1,14,32.890437119553
1,15,-0.620214285227
1,16,-0.826656531841
1,17,8.501194459503
1,18,-1.479532261706
1,19,58.878260437123
1,20,3.523898872569
1,21,0.629697807039
1,22,4.081959296826
1,23,56.413151932124
1,24,2.716540144684
1,25,-10.790191672684
1,26,53.431187316179
